sample_id,outer_resonator_width,middle_resonator_width,adjacent_coupling_gap,cross_coupling_gap,feed_offset
sample_0106,11.95,22.9,0.4,1.9500000000000002,4.6
sample_0107,11.95,22.9,0.49999999999999994,1.8,4.75
sample_0108,11.95,22.9,0.6,1.85,4.699999999999999
sample_0109,11.95,22.95,0.49999999999999994,1.9500000000000002,4.699999999999999
sample_0110,11.95,22.95,0.6,1.8,4.55
sample_0111,11.95,23.0,0.4,1.8,4.699999999999999
sample_0112,11.95,23.0,0.4,1.85,4.6499999999999995
sample_0113,11.95,23.0,0.44999999999999996,1.7,4.75
sample_0114,11.95,23.0,0.6,1.85,4.6499999999999995
sample_0115,11.95,23.05,0.49999999999999994,1.85,4.5
sample_0116,11.95,23.05,0.5499999999999999,1.9500000000000002,4.55
sample_0117,11.95,23.1,0.44999999999999996,1.8,4.55
sample_0118,11.95,23.15,0.4,1.8,4.6499999999999995
sample_0119,11.95,23.15,0.44999999999999996,1.9000000000000001,4.5
sample_0120,11.95,23.15,0.49999999999999994,1.8,4.75
sample_0121,11.95,23.15,0.49999999999999994,1.9500000000000002,4.6
sample_0122,11.95,23.25,0.49999999999999994,1.85,4.699999999999999
sample_0123,11.95,23.25,0.49999999999999994,1.9500000000000002,4.6
sample_0124,11.95,23.25,0.5499999999999999,1.75,4.699999999999999
sample_0125,11.95,23.3,0.5499999999999999,1.85,4.55
sample_0126,12.0,22.8,0.4,1.8,4.5
sample_0127,12.0,22.85,0.4,1.8,4.5
sample_0128,12.0,22.85,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0129,12.0,22.85,0.5499999999999999,1.9500000000000002,4.75
sample_0130,12.0,22.9,0.49999999999999994,1.75,4.5
sample_0131,12.0,22.9,0.5499999999999999,1.75,4.6
sample_0132,12.0,22.95,0.4,1.9500000000000002,4.55
sample_0133,12.0,22.95,0.49999999999999994,1.85,4.6499999999999995
sample_0134,12.0,23.0,0.4,1.85,4.5
sample_0135,12.0,23.0,0.44999999999999996,1.9000000000000001,4.55
sample_0136,12.0,23.0,0.6,1.8,4.449999999999999
sample_0137,12.0,23.05,0.44999999999999996,1.9500000000000002,4.699999999999999
sample_0138,12.0,23.05,0.6,1.9000000000000001,4.699999999999999
sample_0139,12.0,23.1,0.5499999999999999,1.85,4.55
sample_0140,12.0,23.1,0.6,1.9500000000000002,4.6
sample_0141,12.0,23.1,0.6,1.9500000000000002,4.6499999999999995
sample_0142,12.0,23.15,0.5499999999999999,1.85,4.75
sample_0143,12.0,23.2,0.5499999999999999,1.9000000000000001,4.6
sample_0144,12.0,23.2,0.6,1.9500000000000002,4.449999999999999
sample_0145,12.0,23.25,0.4,1.75,4.449999999999999
sample_0146,12.0,23.25,0.4,1.75,4.6499999999999995
sample_0147,12.0,23.25,0.44999999999999996,1.75,4.6
sample_0148,12.0,23.25,0.44999999999999996,1.8,4.699999999999999
sample_0149,12.0,23.3,0.4,1.9000000000000001,4.6499999999999995
sample_0150,12.0,23.3,0.49999999999999994,1.85,4.699999999999999
sample_0151,12.0,23.3,0.5499999999999999,1.9500000000000002,4.699999999999999
sample_0152,12.05,22.85,0.49999999999999994,1.7,4.699999999999999
sample_0153,12.05,22.85,0.5499999999999999,1.8,4.75
sample_0154,12.05,22.9,0.44999999999999996,1.85,4.75
sample_0155,12.05,22.9,0.49999999999999994,1.75,4.699999999999999
sample_0156,12.05,22.9,0.5499999999999999,1.8,4.5
sample_0157,12.05,22.95,0.6,1.85,4.55
sample_0158,12.05,23.0,0.44999999999999996,1.9500000000000002,4.55
sample_0159,12.05,23.0,0.49999999999999994,1.9500000000000002,4.75
sample_0160,12.05,23.0,0.5499999999999999,1.9000000000000001,4.6
sample_0161,12.05,23.05,0.44999999999999996,1.8,4.5
sample_0162,12.05,23.05,0.44999999999999996,1.8,4.6499999999999995
sample_0163,12.05,23.05,0.49999999999999994,1.85,4.699999999999999
