sample_id,status,analysis_available,target_satisfied,elapsed_seconds,runtime_report_level,runtime_ratio_to_reference,constraint_violation,tracking_error,total_loss,main_peak_freq_hz,bandwidth_3db_hz,main_peak_s21_db,best_s11_db,high_side_zero_freq_hz,high_side_zero_s21_db,center_freq_error_hz,bandwidth_error_hz,insertion_loss_error_db,return_loss_error_db,high_side_zero_freq_error_hz,high_side_zero_depth_error_db,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset
sample_0049,ANALYZED,True,False,62.60735770000065,ok,0.9974286960230839,5.207380485301997,7.607380485301997,7.109225606627497,907000000.0,8009508.45366919,-4.992775381535894,-7.320845401485468,1050000000.0,-32.990137348558015,2000000.0,-31990491.54633081,2.9927753815358944,7.679154598514532,100000000.0,-12.990137348558015,11.85,23.1,0.6,1.9500000000000002,4.5
sample_0050,ANALYZED,True,False,62.316021000000546,ok,0.9929824151296458,4.537968338983245,6.937968338983245,6.272460423729056,903000000.0,9446091.684571624,-4.076861726214095,-8.337800334999603,1050000000.0,-34.314232782205075,-2000000.0,-30553908.315428376,2.076861726214095,6.662199665000397,100000000.0,-14.314232782205075,11.85,23.15,0.49999999999999994,1.7,4.449999999999999
sample_0051,ANALYZED,True,False,63.30005649999839,ok,1.0089775659369953,4.6883666424955655,7.088366642495566,6.460458303119457,903000000.0,9118948.675685644,-4.270576673345104,-8.025402399126332,1050000000.0,-34.47610036398432,-2000000.0,-30881051.324314356,2.2705766733451043,6.974597600873668,100000000.0,-14.476100363984322,11.85,23.15,0.49999999999999994,1.7,4.75
sample_0052,ANALYZED,True,False,63.05306829999972,ok,1.0047269873323217,4.67063386236643,7.070633862366431,6.438292327958038,903000000.0,9032082.53947711,-4.260472910130734,-8.345915081268384,1050000000.0,-29.462735570795648,-2000000.0,-30967917.46052289,2.2604729101307344,6.654084918731616,100000000.0,-9.462735570795648,11.85,23.15,0.49999999999999994,1.9500000000000002,4.55
sample_0053,ANALYZED,True,False,62.523811099999875,ok,0.9960976739298781,5.082541881154931,7.282541881154931,6.903177351443664,904000000.0,8229462.454284072,-4.823625124042036,-7.5948665315651915,1050000000.0,-38.08061735545748,-1000000.0,-31770537.545715928,2.823625124042036,7.4051334684348085,100000000.0,-18.080617355457477,11.85,23.15,0.6,1.8,4.55
sample_0054,ANALYZED,True,False,63.27235370000017,ok,1.0082212179106043,4.837820882936971,7.237820882936972,6.6472761036712145,903000000.0,8688851.653085232,-4.479798255333279,-7.997896191317173,1050000000.0,-30.14406507934105,-2000000.0,-31311148.34691477,2.4797982553332787,7.002103808682827,100000000.0,-10.14406507934105,11.85,23.2,0.49999999999999994,1.9500000000000002,4.699999999999999
sample_0055,ANALYZED,True,False,62.901852699998926,ok,1.0021204411250113,4.7197143411195475,7.119714341119547,6.499642926399434,903000000.0,8926745.080385685,-4.324032153340718,-8.244408412683645,1050000000.0,-29.64746341485677,-2000000.0,-31073254.919614315,2.3240321533407178,6.755591587316355,100000000.0,-9.64746341485677,11.85,23.2,0.5499999999999999,1.9500000000000002,4.6499999999999995
sample_0056,ANALYZED,True,False,62.72062130000086,ok,0.9990368166746276,5.250022281711441,7.4500222817114405,7.112527852139301,904000000.0,7943011.213247895,-5.030251172702198,-7.062032749723027,1050000000.0,-35.28340658721004,-1000000.0,-32056988.786752105,3.030251172702198,7.937967250276973,100000000.0,-15.283406587210038,11.85,23.2,0.6,1.9000000000000001,4.6
sample_0057,ANALYZED,True,False,62.48623899999984,ok,0.9954990942726842,4.018023046747711,6.818023046747711,5.722528808434639,901000000.0,10739414.878395677,-3.4744439480397227,-9.678861591488745,1050000000.0,-27.347008899152826,-4000000.0,-29260585.121604323,1.4744439480397227,5.3211384085112545,100000000.0,-7.347008899152826,11.85,23.25,0.4,1.85,4.449999999999999
sample_0058,ANALYZED,True,False,62.55703840000024,ok,0.9968229369745814,3.7763708020528197,6.37637080205282,5.370463502566025,902000000.0,10148479.342211246,-3.7028956364751093,-9.303436229454151,1028000000.0,-26.89230116896311,-3000000.0,-29851520.657788754,1.7028956364751093,5.696563770545849,78000000.0,-6.892301168963112,11.85,23.25,0.4,1.9500000000000002,4.5
